id;read;favorite;available;link;details_html;description
1;true;true;true;Bedfordshire payment;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;true;true;false;wireless cross-platform;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;false;false;true;bypassing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;true;true;false;transmitter;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;false;true;false;bandwidth intranet Madagascar;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;false;true;true;application calculating;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;false;true;false;Money Market Account Danish Krone;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;true;true;true;Handcrafted Concrete Mouse Handcrafted;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;false;true;false;connect Avenue;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;false;true;false;New York yellow;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
